50 989
5 33 5
5 35 2
5 36 11
5 37 13
5 38 4
5 39 10
5 40 3
5 41 11
5 42 2
5 43 1
5 45 10
5 47 2
5 48 6
5 49 5
6 7 9
6 8 10
6 9 5
6 10 2
6 12 12
6 13 13
6 14 7
6 15 11
6 16 8
6 17 1
6 19 8
6 23 13
6 24 8
6 25 8
6 26 2
6 27 5
6 28 3
6 29 11
6 30 4
6 31 13
6 32 4
6 33 6
6 34 4
6 35 9
6 36 3
6 37 6
6 38 1
6 41 2
6 43 9
6 44 4
6 45 2
6 46 2
6 47 13
6 48 5
6 49 14
7 8 11
7 9 14
7 10 3
7 11 2
7 12 4
7 13 2
7 15 4
7 16 2
7 17 2
7 18 10
7 19 5
7 20 4
7 21 4
7 22 13
7 23 7
7 25 12
7 26 1
7 27 4
7 28 1
7 29 3
7 30 2
7 31 14
7 32 3
7 34 8
7 35 2
7 36 13
7 37 5
7 38 2
7 40 13
7 42 3
7 43 3
7 44 12
7 45 6
7 46 13
7 48 8
7 49 11
8 9 2
8 10 11
8 12 13
8 14 11
8 16 5
8 18 13
8 20 9
8 21 14
8 23 6
8 24 12
8 25 13
8 26 7
8 28 14
8 29 4
8 30 10
8 31 13
8 32 4
8 33 4
8 34 6
8 35 9
8 36 6
8 38 12
8 40 6
8 41 1
8 42 1
8 44 12
8 45 1
8 46 7
8 47 4
8 48 9
8 49 3
9 10 14
9 11 9
9 12 2
9 13 1
9 14 1
9 15 1
9 16 8
9 17 8
9 19 9
9 20 9
9 21 3
9 22 7
9 23 4
9 24 11
9 25 6
9 26 7
9 27 7
9 30 13
9 31 7
9 32 4
9 33 10
9 34 9
9 36 6
9 37 4
9 38 9
9 39 11
9 41 12
9 42 14
9 43 8
9 44 14
9 46 2
9 47 11
9 48 2
10 11 4
10 12 7
10 13 11
10 14 2
10 16 13
10 17 3
10 18 9
10 19 12
10 20 9
10 21 1
10 22 3
10 23 10
10 24 2
10 25 12
10 27 4
10 28 7
10 29 12
10 30 11
10 31 14
10 32 5
10 34 8
10 35 10
10 36 8
10 37 2
10 38 1
10 39 8
10 43 11
10 44 11
10 45 11
10 46 7
10 47 2
10 48 4
10 49 10
11 13 4
11 14 5
11 15 10
11 20 14
11 22 2
11 23 9
11 24 2
11 25 11
11 26 7
11 27 7
11 29 3
11 30 7
11 31 6
11 32 11
11 33 9
11 34 9
11 36 12
11 37 3
11 38 3
11 39 1
11 41 5
11 42 10
11 44 8
11 45 13
11 46 3
11 47 5
11 48 5
11 49 9
12 13 3
12 14 6
12 15 14
12 17 4
12 18 10
12 19 5
12 21 9
12 22 1
12 23 8
12 24 12
12 26 14
12 27 13
12 28 1
12 30 3
12 31 14
12 32 2
12 33 14
12 35 9
12 36 10
12 37 11
12 38 6
12 39 1
12 40 14
12 41 2
12 42 13
12 43 10
12 45 2
12 46 8
12 47 1
12 48 4
12 49 4
13 14 1
13 15 2
13 16 6
13 17 13
13 18 11
13 19 6
13 20 8
13 21 1
13 22 12
13 23 1
13 24 6
13 25 9
13 27 2
13 30 10
13 31 9
13 32 3
13 33 7
13 34 8
13 35 4
13 36 9
13 37 5
13 39 7
13 41 9
13 42 14
13 43 14
13 46 9
13 47 2
13 48 14
13 49 7
14 15 5
14 16 3
14 17 7
14 18 13
14 19 10
14 20 14
14 21 5
14 22 6
14 23 12
14 24 1
14 26 14
14 29 14
14 30 13
14 31 13
14 32 9
14 35 2
14 36 9
14 37 2
14 38 1
14 40 2
14 41 1
14 42 1
14 43 5
14 45 14
14 46 12
14 47 13
14 48 4
14 49 14
15 16 11
15 18 14
15 19 9
15 20 10
15 21 14
15 22 13
15 23 12
15 24 2
15 27 6
15 28 7
15 29 3
15 30 10
15 31 4
15 32 9
15 34 12
15 35 6
15 36 6
15 37 5
15 39 3
15 40 3
15 41 2
15 42 8
15 43 1
15 46 2
15 47 14
15 48 11
15 49 1
16 17 10
16 18 10
16 19 1
16 20 6
16 21 11
16 22 14
16 23 13
16 24 3
16 25 14
16 26 8
16 27 6
16 29 12
16 31 9
16 34 5
16 36 1
16 37 12
16 38 1
16 39 2
16 40 5
16 41 5
16 43 10
16 46 3
16 47 5
16 49 11
17 18 12
17 19 14
17 20 2
17 21 2
17 22 8
17 23 12
17 24 1
17 25 6
17 26 8
17 27 8
17 28 13
17 29 3
17 30 12
17 32 12
17 33 10
17 34 12
17 35 9
17 37 3
17 38 8
17 39 8
17 40 13
17 41 6
17 44 6
17 45 12
17 46 12
17 47 2
17 48 4
18 19 4
18 20 1
18 21 6
18 22 14
18 24 3
18 25 6
18 26 9
18 27 1
18 28 12
18 29 9
18 30 7
18 31 6
18 32 14
18 33 6
18 35 6
18 36 11
18 38 13
18 39 11
18 40 9
18 41 11
18 42 6
18 43 11
18 44 8
18 46 1
18 47 1
18 48 11
18 49 8
19 20 5
19 21 3
19 22 3
19 23 7
19 25 1
19 26 11
19 27 3
19 28 6
19 29 9
19 30 2
19 31 3
19 32 10
19 33 3
19 35 7
19 36 8
19 37 10
19 38 11
19 39 2
19 40 4
19 41 8
19 42 1
19 43 6
19 45 8
19 46 12
19 47 6
19 48 8
19 49 11
20 22 11
20 23 2
20 24 3
20 25 6
20 26 3
20 29 12
20 30 11
20 31 12
20 32 7
20 33 13
20 34 6
20 35 6
20 37 4
20 38 2
20 39 13
20 40 5
20 41 14
20 43 9
20 46 12
20 47 3
20 48 12
20 49 9
21 22 14
21 25 3
21 26 3
21 27 13
21 28 10
21 30 4
21 33 7
21 35 8
21 36 11
21 37 4
21 39 7
21 40 1
21 41 9
21 42 9
21 43 7
21 44 14
21 45 4
21 47 11
21 48 8
21 49 1
22 23 11
22 25 5
22 26 6
22 27 11
22 29 6
22 30 1
22 31 6
22 32 1
22 33 9
22 35 9
22 36 1
22 37 9
22 38 13
22 39 12
22 40 9
22 41 4
22 42 10
22 43 7
22 44 13
22 45 12
22 46 1
22 49 10
23 24 13
23 25 13
23 26 7
23 27 5
23 28 5
23 29 8
23 30 8
23 31 3
23 32 1
23 35 3
23 37 3
23 38 12
23 39 9
23 40 4
23 41 14
23 42 2
23 43 11
23 44 11
23 45 1
23 46 9
23 47 13
23 48 9
24 25 7
24 26 6
24 27 9
24 28 11
24 29 9
24 30 12
24 31 4
24 32 10
24 33 3
24 34 13
24 35 14
24 37 7
24 39 4
24 41 14
24 43 1
24 44 5
24 47 9
24 48 7
24 49 9
25 26 5
25 27 7
25 28 2
25 30 14
25 32 6
25 33 12
25 34 13
25 35 9
25 36 8
25 37 2
25 38 13
25 40 12
25 41 9
25 42 4
25 44 5
25 45 6
25 46 8
25 47 6
25 49 11
26 27 13
26 28 10
26 30 7
26 31 8
26 32 12
26 34 14
26 35 11
26 36 8
26 37 11
26 38 11
26 39 9
26 40 6
26 41 5
26 42 1
26 43 6
26 44 14
26 45 14
26 46 12
26 48 6
26 49 13
27 28 13
27 29 7
27 30 3
27 31 9
27 32 13
27 34 9
27 35 5
27 36 1
27 37 11
27 38 10
27 39 12
27 40 2
27 41 13
27 42 9
27 44 3
27 45 3
27 46 13
27 48 12
27 49 1
28 29 3
28 30 4
28 31 13
28 32 14
28 34 7
28 36 13
28 39 2
28 40 12
28 43 13
28 45 8
28 46 4
28 48 5
28 49 5
29 30 3
29 31 13
29 32 3
29 33 3
29 34 11
29 35 7
29 36 7
29 37 9
29 38 11
29 40 3
29 41 8
29 42 2
29 43 3
29 44 2
29 45 3
29 46 9
29 47 4
29 48 6
29 49 3
30 31 2
30 32 8
30 33 7
30 34 13
30 36 2
30 37 7
30 38 4
30 40 6
30 41 6
30 42 1
30 43 11
30 44 13
30 45 10
30 46 13
30 47 1
30 49 2
31 32 12
31 33 10
31 34 11
31 35 8
31 36 2
31 37 11
31 38 2
31 39 14
31 40 5
31 41 14
31 43 7
31 45 3
31 46 11
31 47 3
31 49 14
32 33 10
32 34 6
32 35 5
32 37 10
32 40 9
32 41 7
32 42 13
32 43 6
32 44 4
32 45 4
32 46 7
32 47 11
32 48 14
32 49 10
33 34 2
33 35 3
33 37 6
33 38 13
33 39 6
33 40 2
33 41 14
33 42 2
33 43 3
33 44 14
33 45 1
33 47 13
33 48 9
33 49 11
34 35 7
34 36 13
34 37 2
34 38 7
34 39 1
34 40 10
34 41 9
34 42 10
34 44 9
34 45 2
34 46 14
34 47 7
34 49 4
35 36 12
35 37 12
35 38 5
35 40 14
35 41 1
35 43 3
35 44 7
35 45 13
35 46 8
35 48 10
35 49 11
36 42 13
36 44 14
36 45 7
36 47 6
36 48 1
36 49 8
37 38 14
37 41 7
37 42 14
37 43 1
37 44 1
37 45 11
37 46 1
37 47 7
37 49 11
38 39 6
38 40 14
38 42 4
38 43 11
38 44 1
38 45 8
38 48 10
38 49 13
39 40 6
39 41 8
39 42 4
39 43 14
39 44 5
39 46 7
39 47 9
39 49 13
40 41 7
40 42 7
40 45 8
40 47 2
40 48 5
40 49 6
41 42 4
41 43 7
41 44 1
41 45 5
41 46 8
41 47 2
41 49 7
42 43 4
42 44 8
42 45 6
42 46 5
42 47 5
42 48 5
42 49 3
43 44 10
43 45 10
43 46 3
43 47 7
43 48 1
43 49 2
44 45 14
44 46 1
44 48 10
45 46 6
45 47 6
45 48 12
45 49 9
46 47 10
46 48 8
46 49 1
47 48 7
47 49 6
48 49 9
