500 1636
174 297 123
175 310 143
176 37 171
176 75 155
177 189 110
177 316 124
178 152 192
178 320 10
179 367 177
180 276 138
180 337 149
180 442 94
180 469 120
181 133 50
181 291 210
181 349 173
182 44 185
182 181 106
182 292 127
182 345 196
182 404 161
183 3 158
183 128 144
183 214 89
183 258 144
183 450 124
184 65 135
184 149 147
184 207 129
184 318 100
184 445 156
186 422 160
187 6 76
187 203 146
187 251 187
187 271 186
187 406 153
187 412 199
187 448 132
188 213 139
188 294 109
188 474 10
189 35 101
189 50 90
189 477 178
190 102 221
191 95 243
191 175 165
191 246 110
192 180 143
192 452 73
192 469 121
193 134 160
193 151 235
193 477 97
194 0 152
194 169 72
195 58 121
195 269 146
195 343 105
195 447 86
196 295 173
196 385 262
197 255 190
197 312 101
197 466 178
198 118 147
198 149 168
198 165 284
198 184 45
198 318 123
199 178 106
199 320 113
200 25 83
200 28 81
200 366 288
200 419 105
201 148 267
201 339 29
202 273 152
202 302 124
202 332 113
202 392 163
202 454 102
203 171 172
203 271 83
203 448 42
204 43 83
204 240 13
205 21 165
205 94 172
205 319 36
205 329 33
206 180 112
206 439 161
206 442 185
207 43 131
207 198 155
207 204 109
207 237 273
208 91 131
208 328 132
208 400 196
208 455 203
208 457 143
209 136 16
210 42 272
210 242 210
211 68 44
211 126 170
211 243 58
211 421 60
212 70 67
212 106 28
212 296 78
212 486 128
213 284 8
213 301 107
214 116 139
214 173 128
215 1 126
216 32 143
216 51 98
216 288 94
217 211 46
217 256 223
217 421 79
218 68 274
218 243 280
218 256 93
218 386 289
219 67 62
219 293 114
219 327 174
220 124 221
221 114 27
221 422 236
221 424 156
221 473 108
221 483 123
222 221 151
222 230 56
222 483 62
223 303 182
224 103 102
224 140 50
224 395 81
224 420 165
225 1 52
225 50 200
225 260 175
225 304 104
225 427 187
226 13 84
226 99 107
226 102 108
226 129 118
226 146 117
226 190 162
226 281 123
226 286 160
226 462 115
226 496 166
227 269 82
227 331 147
228 40 111
228 130 91
228 175 223
228 382 135
229 179 103
229 185 133
229 238 129
229 351 244
231 82 228
231 139 189
231 384 61
231 399 182
232 120 54
232 175 139
232 228 240
232 344 181
233 53 163
233 153 123
233 168 218
233 415 74
234 210 46
235 7 97
235 474 128
236 98 135
236 179 182
236 229 198
236 238 137
236 306 167
236 351 51
237 79 136
237 90 62
237 497 85
238 45 205
238 179 52
238 351 188
239 487 54
240 79 179
240 207 95
241 248 99
241 300 167
241 351 149
241 362 145
241 428 145
241 478 112
241 479 100
242 108 150
242 235 112
243 386 147
243 421 28
244 140 210
244 410 196
244 420 144
245 25 117
245 89 84
245 200 95
245 283 253
245 327 36
245 419 107
245 435 168
246 94 136
246 120 90
246 175 75
246 310 133
247 209 114
247 403 28
248 157 54
249 72 15
249 194 84
249 358 73
249 495 108
250 50 125
250 304 188
251 6 115
251 271 207
251 412 100
252 105 301
252 124 188
252 220 396
252 272 312
253 93 191
253 186 89
253 422 70
253 490 43
254 277 58
254 468 125
255 116 155
255 173 171
255 183 106
255 356 124
255 371 103
256 68 204
256 211 182
256 243 190
256 386 201
257 111 184
257 162 59
257 187 162
257 203 152
257 239 72
257 448 110
257 487 60
258 16 90
258 197 122
258 255 109
258 459 121
259 199 41
259 264 209
259 492 238
260 1 169
260 4 119
260 36 38
260 151 352
260 170 183
260 215 52
260 375 354
261 96 163
261 330 91
261 334 46
261 386 257
262 76 226
262 156 131
263 53 155
263 153 236
263 161 201
263 432 112
264 145 232
264 146 136
264 199 186
264 226 175
265 233 29
265 415 58
266 296 196
266 314 190
266 381 192
267 23 14
267 51 186
267 425 82
268 322 131
268 357 154
268 384 61
268 399 208
269 343 139
269 360 240
269 449 162
270 34 193
270 93 121
270 404 65
270 430 241
271 162 160
271 239 144
272 19 131
272 220 179
272 383 202
272 485 262
273 332 213
273 480 135
274 8 220
274 341 150
275 190 142
275 226 249
275 453 76
276 18 108
276 206 99
276 387 21
277 282 102
277 290 241
277 423 89
277 449 183
278 59 114
278 83 153
278 328 36
279 27 219
279 79 191
279 237 175
279 335 89
280 189 210
280 477 151
281 146 8
281 190 125
281 264 143
281 275 137
281 286 113
282 10 174
282 138 181
282 254 142
282 449 154
283 28 265
283 141 327
283 200 314
283 327 275
284 188 147
284 289 133
284 301 107
285 159 159
285 406 113
285 470 149
286 190 237
286 199 187
286 264 30
286 320 93
286 496 175
287 22 129
287 319 186
287 416 267
288 83 127
289 108 184
289 309 225
289 353 143
289 474 84
289 498 172
290 100 126
290 138 236
290 254 283
290 360 227
291 93 118
291 114 139
291 222 175
291 230 134
291 426 156
292 181 37
294 210 250
294 234 239
294 235 38
294 242 110
294 474 115
295 137 139
295 307 73
295 434 193
296 70 23
296 117 90
296 161 181
297 86 67
297 96 218
297 261 146
298 55 55
299 17 56
299 24 117
299 26 102
299 78 267
299 385 230
300 236 130
300 355 162
300 367 81
301 289 90
301 498 128
302 392 44
302 454 110
303 33 108
303 49 166
303 121 294
303 376 216
303 446 88
304 1 114
304 215 73
305 16 108
305 197 218
305 459 50
306 98 126
306 179 208
306 185 38
306 238 201
307 137 67
307 385 162
308 244 175
308 395 77
309 147 21
309 323 108
310 191 92
310 232 9
311 313 135
311 340 121
311 397 156
312 16 99
312 255 180
312 258 72
312 459 89
312 466 244
313 67 67
313 132 149
313 200 130
314 212 82
314 296 8
314 494 143
315 213 167
315 284 159
315 289 259
315 301 179
315 498 257
316 225 244
316 250 150
316 407 146
317 5 352
317 12 176
317 358 152
318 460 128
319 329 30
320 145 158
320 461 120
321 54 93
321 395 176
322 139 224
322 231 112
322 325 160
322 384 103
323 97 43
323 234 220
324 96 124
324 174 213
324 261 174
324 334 188
324 372 113
324 386 98
325 231 166
326 82 249
326 322 113
326 325 217
326 384 115
327 28 23
327 67 153
327 89 58
327 200 58
327 419 95
328 83 117
328 216 185
328 400 157
329 22 155
329 95 200
329 144 65
329 456 123
330 86 128
330 297 181
330 324 135
330 334 72
331 58 87
331 112 90
331 195 140
331 269 72
331 447 59
331 449 201
332 107 317
332 302 189
332 392 233
332 480 266
333 75 120
333 159 161
333 274 182
333 341 137
335 90 219
335 346 213
335 465 235
336 20 282
336 47 193
336 258 273
337 206 60
337 276 60
337 391 193
337 439 141
338 8 43
338 115 142
338 159 99
339 152 71
339 472 227
340 142 187
340 154 235
340 164 51
340 350 40
341 8 101
341 176 214
342 25 18
342 28 102
342 219 92
342 313 109
342 327 88
342 419 51
343 58 16
343 331 82
343 390 195
344 40 219
344 310 190
344 411 184
344 416 190
345 34 126
345 270 103
345 292 231
346 359 203
346 433 179
346 438 200
346 460 203
347 172 298
348 63 178
348 134 142
348 193 20
348 280 153
349 182 89
349 222 152
349 230 135
349 292 203
349 444 55
349 483 102
350 132 87
350 141 232
350 154 195
350 405 115
351 98 183
351 300 128
351 306 188
351 367 152
351 479 225
352 66 39
352 167 185
352 484 19
353 147 269
353 213 174
353 284 173
353 301 71
353 315 193
354 66 159
354 464 178
354 484 180
355 45 176
355 155 243
356 3 117
356 116 40
356 173 48
356 214 113
357 139 80
357 325 122
357 370 168
357 389 96
358 169 114
358 194 123
358 401 124
359 237 271
359 279 95
360 62 191
360 227 158
360 377 89
361 303 304
361 370 196
361 451 143
362 248 84
362 351 138
362 428 28
363 97 89
363 289 291
363 309 69
363 323 132
364 123 186
364 201 179
364 339 205
364 417 70
364 472 92
365 102 170
365 123 140
365 125 99
365 148 164
366 283 27
366 435 148
367 478 170
368 336 85
368 450 273
369 24 117
369 119 209
369 299 192
369 434 159
370 325 198
370 376 85
371 183 46
371 214 129
371 356 24
372 2 156
372 174 170
372 243 134
372 297 162
372 386 15
373 76 72
373 208 157
374 63 316
374 134 137
374 193 161
374 280 72
374 348 142
375 63 87
375 134 335
375 151 10
375 170 170
375 348 243
376 82 128
376 139 214
376 268 195
376 325 158
376 357 186
376 446 268
377 10 235
377 62 126
377 100 19
377 227 163
377 449 268
378 234 135
378 309 229
379 124 82
379 252 269
379 481 157
379 485 320
380 34 268
380 181 71
380 182 110
380 345 180
380 444 183
381 106 121
381 414 145
381 494 106
382 21 305
382 130 122
382 287 214
382 344 229
382 416 60
383 19 298
383 122 463
383 481 275
383 491 37
384 357 209
385 26 214
385 295 140
385 369 258
386 64 145
386 86 130
386 96 217
386 126 156
386 297 155
386 334 280
387 18 87
387 441 188
388 84 155
388 274 109
388 341 81
389 139 176
389 370 117
391 18 55
391 73 80
391 109 226
391 276 132
391 439 59
391 458 175
392 74 116
392 273 25
392 440 181
392 454 122
393 266 126
393 381 200
394 136 128
394 209 144
394 489 148
395 54 107
395 244 106
395 420 130
396 160 113
397 350 82
397 405 152
398 137 66
398 307 123
398 396 85
398 437 62
399 49 114
399 82 158
399 223 162
399 322 80
399 384 184
400 59 109
400 83 231
401 0 183
401 72 82
401 194 33
401 495 86
402 30 96
402 209 114
402 431 127
403 30 145
403 402 158
404 39 80
405 311 44
405 313 177
406 6 86
406 81 53
406 131 119
407 35 36
407 189 135
407 280 251
408 158 101
408 160 83
408 298 166
408 385 85
408 396 182
408 398 102
409 0 227
409 66 194
409 194 136
409 249 111
409 317 113
409 352 199
409 464 236
409 467 163
409 484 184
409 495 104
410 80 205
410 347 46
410 420 209
411 40 80
411 228 124
411 287 268
411 416 6
412 81 34
412 406 49
413 272 298
413 383 307
414 168 189
414 393 55
417 85 132
417 152 180
417 492 158
418 48 29
418 338 208
418 341 128
418 388 88
419 25 34
419 28 96
419 219 87
420 140 149
420 308 127
420 347 254
421 2 34
421 126 109
421 372 154
421 386 168
422 93 211
422 473 216
423 62 335
423 254 144
423 282 123
424 291 109
424 349 75
425 32 82
425 51 112
425 216 147
425 476 244
426 181 54
426 292 82
426 380 85
426 444 98
427 1 157
427 4 143
427 215 50
427 260 80
427 304 123
428 185 181
428 236 154
428 248 103
428 351 111
428 478 97
430 39 210
430 490 285
431 209 34
431 247 147
431 394 176
431 403 155
432 56 146
432 486 335
432 494 315
433 87 181
433 90 258
433 198 111
433 359 110
434 17 258
434 38 159
434 196 202
435 283 175
435 327 165
436 30 125
436 80 33
436 402 165
436 410 171
436 420 180
436 431 123
437 26 235
437 396 141
437 408 88
438 318 141
439 73 21
439 387 67
439 441 131
439 442 96
439 458 234
440 180 174
440 469 130
441 18 118
441 109 150
441 391 75
442 18 166
442 73 99
442 107 102
442 192 194
442 441 165
442 454 130
443 53 137
443 166 131
443 265 105
443 381 157
443 415 142
444 181 141
444 292 176
444 424 111
444 483 144
445 104 53
446 223 99
447 10 168
447 58 95
447 112 149
447 227 147
447 269 67
447 343 81
448 251 162
449 62 345
449 195 110
449 254 241
449 290 178
450 116 43
450 255 176
450 356 80
451 33 108
451 71 219
451 82 209
451 303 213
451 376 97
452 180 70
452 206 161
452 442 137
453 190 95
453 226 243
453 281 159
454 107 120
454 273 129
454 332 213
454 480 56
455 76 112
455 101 47
455 488 71
456 21 65
456 22 34
456 287 124
457 11 63
457 92 212
458 73 255
458 441 107
459 20 134
459 46 61
459 197 190
459 214 179
460 149 106
460 438 13
460 465 271
461 146 195
461 178 119
461 199 69
461 259 111
461 264 170
461 275 203
461 286 159
461 453 275
462 15 135
462 99 53
462 102 75
462 125 109
462 129 47
462 365 140
462 499 92
463 84 153
463 338 104
463 341 115
464 66 42
464 163 217
464 167 155
465 87 296
465 346 78
465 433 237
466 47 246
466 128 245
466 255 155
467 72 230
467 464 129
467 484 79
468 10 114
468 290 199
468 390 260
468 423 35
468 449 116
469 442 99
469 452 103
469 454 122
470 131 165
471 108 194
471 235 166
471 242 109
471 294 137
472 85 114
472 99 124
472 152 211
472 417 41
473 93 29
473 114 80
473 230 162
473 404 141
474 7 206
474 42 130
474 108 100
474 213 141
474 284 150
475 60 112
475 76 161
475 262 72
475 457 174
476 216 110
477 63 155
477 134 96
477 151 248
477 348 89
477 375 239
478 185 183
478 248 147
478 351 37
478 362 119
479 88 190
479 155 67
479 355 176
480 180 158
480 192 188
480 302 127
480 392 118
481 220 73
481 252 337
481 272 110
482 95 87
482 120 149
482 246 74
482 310 181
483 114 130
483 291 113
484 167 170
484 464 56
485 124 240
485 252 126
486 381 53
486 414 197
486 443 149
487 84 135
487 162 31
487 171 42
487 271 158
488 11 151
488 60 98
488 373 110
488 457 111
488 475 194
489 403 72
490 39 220
490 186 63
490 270 203
490 473 236
491 105 383
491 379 394
491 481 248
491 485 373
492 152 38
492 178 162
492 320 164
492 339 102
493 54 114
493 209 216
493 321 62
493 489 211
494 70 122
494 168 136
494 212 62
495 0 133
495 72 123
495 358 109
496 190 85
496 275 83
496 281 66
497 279 164
497 359 252
498 97 278
498 147 222
498 309 201
498 353 68
499 15 45
499 125 56
499 129 111
499 365 55
